ticker,price,day_%,week_%,rvol,rsi,compression_%,dist_20d_high_%,risk_to_5d_low_%,target_10%,target_20%,target_30%,score,signal,why
IMNM,19.75,2.17,10.27,0.98,49.3,6.58,12.38,6.18,21.73,23.7,25.68,41,👀 PRE-BREAKOUT WATCH,"tradeable price, early weekly momentum, not chasing today, healthy RSI, above 20SMA, moderate compression, risk under 8%"
NUAI,5.85,-5.11,7.54,0.88,50.8,16.58,12.43,2.05,6.43,7.02,7.6,40,👀 PRE-BREAKOUT WATCH,"tradeable price, early weekly momentum, healthy RSI, above 20SMA, above 50SMA, prior accumulation, risk under 8%"
CLOV,5.21,2.96,5.47,0.75,79.3,8.54,0.0,7.87,5.73,6.25,6.77,40,👀 PRE-BREAKOUT WATCH,"tradeable price, early weekly momentum, not chasing today, above 20SMA, above 50SMA, prior accumulation, near breakout, risk under 8%, penalty: RSI overheated"
ALOY,16.67,-13.04,14.26,0.79,58.7,18.6,15.38,0.36,18.34,20.0,21.67,40,👀 PRE-BREAKOUT WATCH,"tradeable price, early weekly momentum, healthy RSI, above 20SMA, above 50SMA, prior accumulation, risk under 8%"
KEEL,6.12,-7.27,2.68,1.06,49.6,11.56,8.11,2.45,6.73,7.34,7.96,40,👀 PRE-BREAKOUT WATCH,"tradeable price, early weekly momentum, healthy RSI, above 20SMA, above 50SMA, prior accumulation, risk under 8%"
CERS,2.64,1.93,6.88,1.09,48.9,5.06,13.16,2.65,2.9,3.17,3.43,39,👀 PRE-BREAKOUT WATCH,"tradeable price, early weekly momentum, not chasing today, healthy RSI, above 50SMA, moderate compression, risk under 8%"
SVRA,5.83,0.87,10.0,0.98,70.7,8.36,0.0,7.72,6.41,7.0,7.58,38,👀 PRE-BREAKOUT WATCH,"tradeable price, early weekly momentum, not chasing today, above 20SMA, above 50SMA, near breakout, risk under 8%"
AVR,10.4,1.17,12.19,1.29,71.0,9.47,0.0,8.65,11.44,12.48,13.52,38,👀 PRE-BREAKOUT WATCH,"tradeable price, early weekly momentum, not chasing today, above 20SMA, above 50SMA, near breakout, buying volume present"
MGNX,4.78,1.92,23.2,2.48,64.5,20.71,0.0,17.15,5.26,5.74,6.21,38,👀 PRE-BREAKOUT WATCH,"tradeable price, not chasing today, healthy RSI, above 20SMA, above 50SMA, prior accumulation, near breakout, buying volume present, penalty: already running"
DHC,9.36,2.41,6.48,0.73,66.8,8.96,0.0,8.23,10.3,11.23,12.17,38,👀 PRE-BREAKOUT WATCH,"tradeable price, early weekly momentum, not chasing today, healthy RSI, above 20SMA, above 50SMA, near breakout"
SMMT,14.25,0.0,2.67,0.91,41.4,3.85,18.76,3.51,15.68,17.1,18.53,36,👀 PRE-BREAKOUT WATCH,"tradeable price, early weekly momentum, not chasing today, tight squeeze, risk under 8%"
CTKB,4.28,5.16,4.65,0.59,56.2,13.53,1.15,11.92,4.71,5.14,5.56,36,👀 PRE-BREAKOUT WATCH,"tradeable price, early weekly momentum, healthy RSI, above 20SMA, above 50SMA, coiled under breakout"
XERS,7.4,2.78,7.25,0.9,89.9,7.25,0.0,6.76,8.14,8.88,9.62,36,👀 PRE-BREAKOUT WATCH,"tradeable price, early weekly momentum, not chasing today, above 20SMA, above 50SMA, moderate compression, near breakout, risk under 8%, penalty: RSI overheated"
CATX,3.0,0.0,2.39,0.94,23.1,3.39,27.88,1.67,3.3,3.6,3.9,36,👀 PRE-BREAKOUT WATCH,"tradeable price, early weekly momentum, not chasing today, tight squeeze, risk under 8%"
HIVE,4.14,-10.58,1.72,0.89,46.8,23.43,15.51,4.11,4.55,4.97,5.38,35,👀 PRE-BREAKOUT WATCH,"tradeable price, early weekly momentum, healthy RSI, above 50SMA, prior accumulation, risk under 8%"
AVO,12.18,4.01,5.18,0.74,62.2,10.03,0.0,9.11,13.4,14.62,15.83,35,👀 PRE-BREAKOUT WATCH,"tradeable price, early weekly momentum, not chasing today, healthy RSI, above 20SMA, near breakout"
PGEN,5.4,0.75,13.68,0.89,81.7,14.16,0.0,12.41,5.94,6.48,7.02,34,🟡 MONITOR,"tradeable price, early weekly momentum, not chasing today, above 20SMA, above 50SMA, prior accumulation, near breakout, penalty: RSI overheated"
AQST,4.99,-0.8,17.14,1.24,80.4,13.54,0.8,11.22,5.49,5.99,6.49,34,🟡 MONITOR,"tradeable price, not chasing today, above 20SMA, above 50SMA, prior accumulation, near breakout, buying volume present, penalty: RSI overheated"
SBH,14.32,7.51,7.03,0.89,69.7,10.07,0.0,9.15,15.75,17.18,18.62,34,🟡 MONITOR,"tradeable price, early weekly momentum, above 20SMA, above 50SMA, prior accumulation, near breakout"
AMLX,17.0,3.85,12.96,1.03,77.7,11.48,0.0,10.29,18.7,20.4,22.1,34,🟡 MONITOR,"tradeable price, early weekly momentum, not chasing today, above 20SMA, above 50SMA, prior accumulation, near breakout, penalty: RSI overheated"
SHLS,10.2,-0.78,2.41,1.42,37.0,15.89,20.13,7.45,11.22,12.24,13.26,33,🟡 MONITOR,"tradeable price, early weekly momentum, not chasing today, above 50SMA, risk under 8%, buying volume present"
JUNS,0.25,7.2,7.66,3.09,51.0,10.0,12.76,9.09,0.28,0.3,0.33,33,🟡 MONITOR,"early weekly momentum, healthy RSI, above 20SMA, prior accumulation, buying volume present"
JBLU,5.79,4.7,10.92,1.14,69.2,12.87,0.0,11.4,6.37,6.95,7.53,32,🟡 MONITOR,"tradeable price, early weekly momentum, not chasing today, above 20SMA, above 50SMA, near breakout"
BCRX,10.0,7.41,12.11,1.83,83.3,11.73,0.0,10.5,11.0,12.0,13.0,32,🟡 MONITOR,"tradeable price, early weekly momentum, above 20SMA, above 50SMA, prior accumulation, near breakout, buying volume present, penalty: RSI overheated"
IMMX,10.04,1.31,14.87,1.13,71.5,15.14,0.0,13.15,11.04,12.05,13.05,32,🟡 MONITOR,"tradeable price, early weekly momentum, not chasing today, above 20SMA, above 50SMA, near breakout"
ASPI,7.06,-0.28,9.63,0.93,44.9,8.98,15.25,5.38,7.77,8.47,9.18,32,🟡 MONITOR,"tradeable price, early weekly momentum, not chasing today, above 20SMA, above 50SMA, risk under 8%"
CGEM,17.65,-0.56,30.26,0.99,63.2,22.92,0.56,18.19,19.41,21.18,22.94,32,🟡 MONITOR,"tradeable price, not chasing today, healthy RSI, above 20SMA, above 50SMA, prior accumulation, near breakout, penalty: already running"
ADPT,19.34,12.25,12.31,1.49,65.0,15.26,0.0,13.24,21.27,23.21,25.14,31,🟡 MONITOR,"tradeable price, early weekly momentum, healthy RSI, above 20SMA, above 50SMA, prior accumulation, near breakout, buying volume present, penalty: too late today"
RKT,14.73,9.35,5.82,1.91,59.8,11.42,0.0,10.25,16.2,17.68,19.15,31,🟡 MONITOR,"tradeable price, early weekly momentum, healthy RSI, above 20SMA, above 50SMA, prior accumulation, near breakout, buying volume present, penalty: too late today"
ALTO,5.05,-1.17,4.34,1.01,40.6,5.45,11.56,1.98,5.56,6.06,6.57,30,🟡 MONITOR,"tradeable price, early weekly momentum, not chasing today, moderate compression, risk under 8%"
LXRX,2.22,2.78,13.85,1.26,86.3,10.45,0.0,9.46,2.44,2.66,2.89,30,🟡 MONITOR,"tradeable price, early weekly momentum, not chasing today, above 20SMA, above 50SMA, near breakout, buying volume present, penalty: RSI overheated"
HAYW,15.76,6.41,6.56,1.0,71.1,8.09,0.0,7.49,17.34,18.91,20.49,30,🟡 MONITOR,"tradeable price, early weekly momentum, above 20SMA, above 50SMA, near breakout, risk under 8%"
TECS,6.99,1.9,3.4,0.68,56.1,13.66,14.34,12.02,7.69,8.39,9.09,29,🟡 MONITOR,"tradeable price, early weekly momentum, not chasing today, healthy RSI, above 20SMA"
CTM,0.75,3.86,3.71,0.62,48.1,14.05,14.12,3.71,0.83,0.9,0.98,29,🟡 MONITOR,"early weekly momentum, not chasing today, healthy RSI, above 50SMA, risk under 8%"
GIPR,0.18,5.85,2.26,12.2,35.9,5.85,35.59,5.52,0.2,0.22,0.24,28,🟡 MONITOR,"early weekly momentum, prior accumulation, moderate compression, risk under 8%"
OI,9.57,5.28,5.98,0.9,82.3,5.63,0.0,5.33,10.53,11.48,12.44,28,🟡 MONITOR,"tradeable price, early weekly momentum, above 20SMA, above 50SMA, moderate compression, near breakout, risk under 8%, penalty: RSI overheated"
PRME,3.12,-3.7,8.71,1.22,49.5,8.01,12.11,0.0,3.43,3.74,4.06,28,🟡 MONITOR,"tradeable price, early weekly momentum, healthy RSI, risk under 8%, buying volume present"
QS,7.12,-4.04,2.89,1.14,34.5,16.52,22.61,3.09,7.83,8.54,9.26,26,🟡 MONITOR,"tradeable price, early weekly momentum, prior accumulation, risk under 8%"
PDYN,5.98,-7.57,0.17,0.87,36.0,17.06,32.05,0.0,6.58,7.18,7.77,26,🟡 MONITOR,"tradeable price, early weekly momentum, prior accumulation, risk under 8%"
REAL,12.86,5.32,13.7,1.07,83.6,12.91,0.0,11.43,14.15,15.43,16.72,26,🟡 MONITOR,"tradeable price, early weekly momentum, above 20SMA, above 50SMA, prior accumulation, near breakout, penalty: RSI overheated"
INFQ,14.1,-11.65,5.38,1.0,37.2,19.64,29.04,5.39,15.51,16.92,18.33,26,🟡 MONITOR,"tradeable price, early weekly momentum, prior accumulation, risk under 8%"
PSNL,11.36,12.92,17.23,1.81,54.1,16.51,6.12,14.17,12.5,13.63,14.77,25,🔴 PASS,"tradeable price, healthy RSI, above 20SMA, above 50SMA, prior accumulation, near breakout, buying volume present, penalty: too late today"
